
Log de testes do sistema MO - CSDA/GIMPA/UFSM - 2012


2012-10-18 14:44:19 - Cliente 25: MO530,2012-10-18,14:45:00,12.72,23.69,0,0,0,0,-0.0720,NAN,-95.3,-102.3,NAN,478,0,0.775,0,-93.9,0,-96.5,0 
2012-10-18 14:44:49 - Cliente 25: MO530,2012-10-18,14:45:30,12.73,23.69,0,0,0,0,-0.048,NAN,-94.1,-102.2,NAN,478,0,0.318,0,-93.6,0,-94.5,0 
2012-10-18 14:45:19 - Cliente 25: MO530,2012-10-18,14:46:00,12.72,23.68,0,0,0,0,-0.096,NAN,-93.9,-102.2,NAN,478.1,0,0.228,0,-93.6,0,-94.4,0 
2012-10-18 14:45:40 - Cliente 25: MO530,2012-10-18,14:46:30,12.72,23.68,0,0,0,0,-0.048,NAN,-93.2000,-102.1,NAN,478.1,0,0.55,0,-92.6,0,-94.2000,0 
2012-10-18 14:46:19 - Cliente 25: MO530,2012-10-18,14:47:00,12.72,23.67,0,0,0,0,-0.0720,NAN,-95.1,-102.5,NAN,478.1,0,1.769,0,-92.6,0,-98.2000,0 
2012-10-18 14:46:49 - Cliente 25: MO530,2012-10-18,14:47:30,12.72,23.67,0,0,0,0,-0.048,NAN,-97.3,-102.7,NAN,478.1,0,0.407,0,-96.8,0,-98.2000,0 
2012-10-18 14:47:19 - Cliente 25: MO530,2012-10-18,14:48:00,12.72,23.67,0,0,0,0,-0.0720,NAN,-96.8,-102.6,NAN,478,0,0.7600,0,-95.3,0,-97.7000,0 
2012-10-18 14:47:48 - Cliente 25: MO530,2012-10-18,14:48:30,12.72,23.67,0,0,0,0,-0.048,NAN,-95.4,-102.6,NAN,478,0,0.7460,0,-94.5,0,-96.9,0 
2012-10-18 14:48:19 - Cliente 25: MO530,2012-10-18,14:49:00,12.73,23.67,0,0,0,0,-0.0720,NAN,-97.2000,-102.7,NAN,477.9,0,0.395,0,-96.5,0,-97.8,0 
2012-10-18 14:48:48 - Cliente 25: MO530,2012-10-18,14:49:30,12.72,23.67,0,0,0,0,-0.0720,NAN,-95.7000,-102.6,NAN,478,0,0.242,0,-95.4,0,-96.4,0 
2012-10-18 14:49:18 - Cliente 25: MO530,2012-10-18,14:50:00,12.72,23.67,0,0,0,0,-0.0720,NAN,-96.2000,-102.7,NAN,478,0,0.569,0,-95.5,0,-97.2000,0 
2012-10-18 14:49:48 - Cliente 25: MO530,2012-10-18,14:50:30,12.72,23.67,0,0,0,0,-0.0720,NAN,-95.8,-102.6,NAN,478,0,0.407,0,-95.1,0,-96.5,0 
2012-10-18 14:50:18 - Cliente 25: MO530,2012-10-18,14:51:00,12.72,23.66,0,0,0,0,-0.0720,NAN,-95.4,-102.6,NAN,478,0,0.9720,0,-94.6,0,-97.8,0 
2012-10-18 14:50:48 - Cliente 25: MO530,2012-10-18,14:51:30,12.72,23.65,0,0,0,0,-0.096,NAN,-98.7000,-102.9,NAN,478,0,0.381,0,-97.8,0,-99.2000,0 
2012-10-18 14:51:18 - Cliente 25: MO530,2012-10-18,14:52:00,12.72,23.64,0,0,0,0,-0.0720,NAN,-96.3,-102.7,NAN,478,0,0.693,0,-95.2000,0,-97.6,0 
2012-10-18 14:51:40 - Cliente 25: MO530,2012-10-18,14:52:30,12.72,23.64,0,0,0,0,-0.048,NAN,-96.5,-102.8,NAN,477.8,0,0.267,0,-96,0,-97.1,0 
2012-10-18 14:52:18 - Cliente 25: MO530,2012-10-18,14:53:00,12.72,23.64,0,0,0,0,-0.048,NAN,-98.2000,-103,NAN,477.8,0,0.523,0,-97.3,0,-99.3,0 
2012-10-18 14:52:48 - Cliente 25: MO530,2012-10-18,14:53:30,12.72,23.64,0,0,0,0,-0.024,NAN,-100.2,-103.5,NAN,477.8,0,1.058,0,-99.1,0,-102.6,0 
2012-10-18 14:53:19 - Cliente 25: MO530,2012-10-18,14:54:00,12.72,23.64,0,0,0,0,-0.048,NAN,-100.7,-103.5,NAN,477.6,0,1.719,0,-98.4,0,-103.1,0 
2012-10-18 14:53:40 - Cliente 25: MO530,2012-10-18,14:54:30,12.72,23.64,0,0,0,0,-0.0720,NAN,-99.3,-103.4,NAN,477.6,0,0.454,0,-98.6,0,-100,0 
2012-10-18 14:54:19 - Cliente 25: MO530,2012-10-18,14:55:00,12.72,23.64,0,0,0,0,-0.048,NAN,-96.4,-103,NAN,477.7,0,0.994,0,-95.5,0,-98.5,0 
2012-10-18 14:54:49 - Cliente 25: MO530,2012-10-18,14:55:30,12.72,23.64,0,0,0,0,-0.048,NAN,-97.7000,-103.2,NAN,477.7,0,0.784,0,-95.9,0,-98.7000,0 
2012-10-18 14:55:19 - Cliente 25: MO530,2012-10-18,14:56:00,12.72,23.64,0,0,0,0,-0.048,NAN,-97.5,-103.1,NAN,477.8,0,0.376,0,-96.8,0,-98,0 
2012-10-18 14:55:49 - Cliente 25: MO530,2012-10-18,14:56:30,12.72,23.64,0,0,0,0,-0.024,NAN,-98.8,-103.3,NAN,477.8,0,1.154,0,-97.7000,0,-101,0 
